naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Подъезд к с. Энгорок;10516197,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Южный Аргалей;126562,00;2,55;2,55;2,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Подъезд к с. Явленка;2220436,00;34249,51;34249,51;518,01;33731,50;518,01;33213,49;518,01;32695,48;518,01;32177,47;518,01;31659,46;518,01;31141,45;518,01;30623,44;518,01;30105,43;518,01;29587,42;518,01;29069,41;518,01;28551,40;518,01;28033,39;518,01
"Подъезд к спортивно-оздоровительному комплексу ""Высокогорье""";67435603,76;440411,51;440411,51;18505,22;421906,29;15264,99;406641,30;15264,99;391376,31;15264,99;376111,32;15264,99;360846,33;15264,99;345581,34;15264,99;330316,35;15264,99;315051,36;15264,99;299786,37;15264,99;284521,38;15264,99;269256,39;15264,99;253991,40;15264,99
Подъезд к ст. Сретенск;1325123,00;11710,05;11710,05;1794,21;9915,84;1794,21;8121,63;1794,21;6327,42;1649,90;4677,52;1327,76;3349,76;1312,63;2037,13;849,69;1187,44;547,88;639,56;425,18;214,38;214,38;0,00;0,00;0,00;0,00;0,00;0,00
Приаргунск - Зоргол;15709043,00;1011590,32;1011590,32;17399,46;994190,86;9424,45;984766,41;9424,45;975341,96;9424,45;965917,51;9424,45;956493,06;9424,45;947068,61;9424,45;937644,16;9424,45;928219,71;9424,45;918795,26;9424,45;909370,81;9424,45;899946,36;9424,45;890521,91;9424,45
Смоленка - Карповка;144740344,79;41619659,69;41619659,69;762840,14;40856819,55;762840,14;40093979,41;762840,14;39331139,27;762840,14;38568299,13;762840,14;37805458,99;762840,14;37042618,85;762840,14;36279778,71;762840,14;35516938,57;762840,14;34754098,43;757405,21;33996693,22;743592,40;33253100,82;743592,40;32509508,42;743592,40
Сретенск - Бори;198567397,60;51033463,47;51033463,47;1061454,91;49972008,56;1061429,09;48910579,47;1061267,05;47849312,42;1061267,05;46788045,37;1061267,05;45726778,32;1061267,05;44665511,27;1060761,92;43604749,35;1059511,12;42545238,23;1058400,33;41486837,90;1044880,03;40441957,87;985766,26;39456191,61;985766,26;38470425,35;985766,26
Степь - Ортуй - Кусоча;8736933,00;23277,75;23277,75;543,61;22734,14;543,61;22190,53;543,61;21646,92;543,61;21103,31;543,61;20559,70;543,61;20016,09;460,60;19555,49;460,39;19095,10;412,67;18682,43;390,03;18292,40;390,03;17902,37;390,03;17512,34;390,03
Сыпчегур - Ленинский;1482361,00;423833,74;423833,74;7791,06;416042,68;7791,06;408251,62;7791,06;400460,56;7791,06;392669,50;7791,06;384878,44;7791,06;377087,38;7791,06;369296,32;7791,06;361505,26;7791,06;353714,20;7791,06;345923,14;7791,06;338132,08;7791,06;330341,02;7791,06
Танга - Ленинский;10959505,00;32641,97;32641,97;1436,80;31205,17;1436,80;29768,37;1436,80;28331,57;1436,80;26894,77;1436,80;25457,97;1436,80;24021,17;1436,80;22584,37;1436,80;21147,57;1436,80;19710,77;1436,80;18273,97;1002,76;17271,21;569,84;16701,37;569,84
Таптанай - Зуткулей;10220915,53;354137,75;354137,75;12032,19;342105,56;12032,19;330073,37;11981,13;318092,24;11938,52;306153,72;11938,52;294215,20;11938,52;282276,68;11938,52;270338,16;11938,52;258399,64;11938,52;246461,12;11923,20;234537,92;11891,08;222646,84;11891,08;210755,76;11891,08
Таптанай - Чиндалей - Токчин;11471033,95;188330,32;188330,32;6350,17;181980,15;6350,17;175629,98;6350,17;169279,81;6350,17;162929,64;6350,17;156579,47;6350,17;150229,30;6350,17;143879,13;6350,17;137528,96;6350,17;131178,79;6294,51;124884,28;2671,83;122212,45;2671,83;119540,62;2656,19
Тупик - Заречное;6963333,00;377804,88;377804,88;8329,63;369475,25;8329,63;361145,62;8329,63;352815,99;8329,63;344486,36;8329,63;336156,73;8329,63;327827,10;8329,63;319497,47;8329,63;311167,84;8329,63;302838,21;8329,63;294508,58;8329,63;286178,95;8329,63;277849,32;8329,63
Улан-Удэ - Романовка - Чита;636545564,97;505779995,75;505779995,75;2074695,70;503705300,05;2073472,59;501631827,46;2073472,59;499558354,87;2073472,59;497484882,28;2069944,88;495414937,40;2068586,55;493346350,85;2068586,55;491277764,30;2068586,55;489209177,75;2068586,55;487140591,20;1733442,94;485407148,26;1635323,44;483771824,82;1635323,44;482136501,38;1635323,44
Улан-Цацык - Хара-Бырка;6930134,00;304972,88;304972,88;8056,59;296916,29;8056,59;288859,70;8056,59;280803,11;8056,59;272746,52;8056,59;264689,93;8056,59;256633,34;8056,59;248576,75;8056,59;240520,16;8056,59;232463,57;8056,59;224406,98;8056,59;216350,39;8056,59;208293,80;8056,59
Улеты - Могзон;35980157,00;1021439,24;1021439,24;15436,82;1006002,42;15436,82;990565,60;15436,82;975128,78;15404,08;959724,70;15380,82;944343,88;15380,82;928963,06;15380,82;913582,24;15380,82;898201,42;15380,82;882820,60;15239,22;867581,38;15021,72;852559,66;15021,72;837537,94;15021,72
Урдо-Ага - Хойто-Ага;8681022,00;1449720,15;1449720,15;37577,40;1412142,75;37577,40;1374565,35;37577,40;1336987,95;37577,40;1299410,55;37577,40;1261833,15;37577,40;1224255,75;37577,40;1186678,35;37577,40;1149100,95;37577,40;1111523,55;37577,40;1073946,15;37577,40;1036368,75;37577,40;998791,35;37577,40
Урулюнгуй - Кличка;19038786,00;275086,99;275086,99;5486,06;269600,93;5486,06;264114,87;5486,06;258628,81;5486,06;253142,75;5486,06;247656,69;5486,06;242170,63;5486,06;236684,57;5486,06;231198,51;5486,06;225712,45;5486,06;220226,39;5486,06;214740,33;5486,06;209254,27;5486,06
Усугли - Тунгокочен;126607530,09;25013701,88;25013701,88;489078,66;24524623,22;489039,21;24035584,01;488432,04;23547151,97;474280,29;23072871,68;474164,83;22598706,85;473997,26;22124709,59;473975,76;21650733,83;453186,31;21197547,52;236752,13;20960795,39;236714,77;20724080,62;236687,23;20487393,39;236687,23;20250706,16;236687,23
Чара - Чапо-Олого;587541733,80;333304077,12;333304077,12;2600232,00;330703845,12;2600232,00;328103613,12;2600232,00;325503381,12;2600232,00;322903149,12;2600232,00;320302917,12;2600232,00;317702685,12;2600232,00;315102453,12;2600232,00;312502221,12;2600232,00;309901989,12;2600232,00;307301757,12;2600232,00;304701525,12;2600232,00;302101293,12;2600232,00
Чернышевск - Букачача;33349137,00;5502969,53;5502969,53;153083,48;5349886,05;153083,48;5196802,57;153083,48;5043719,09;153083,48;4890635,61;153083,48;4737552,13;153083,48;4584468,65;153083,48;4431385,17;153083,48;4278301,69;153083,48;4125218,21;152506,64;3972711,57;151040,71;3821670,86;151004,71;3670666,15;149694,72
Чернышевск - Икшица;6898464,00;958376,42;958376,42;36324,79;922051,63;36324,79;885726,84;36324,79;849402,05;36324,79;813077,26;36324,79;776752,47;36324,79;740427,68;36324,79;704102,89;36324,79;667778,10;36324,79;631453,31;36324,79;595128,52;36324,79;558803,73;36324,79;522478,94;36324,79
Чита - Ингода;92850541,61;9039730,30;9039730,30;306197,82;8733532,48;306197,82;8427334,66;306197,82;8121136,84;306197,82;7814939,02;306197,82;7508741,20;306197,82;7202543,38;306197,82;6896345,56;306197,82;6590147,74;306197,82;6283949,92;306197,82;5977752,10;306197,82;5671554,28;306197,66;5365356,62;149038,08
Шелопугино - Балей;50080353,78;2228837,11;2228837,11;58123,90;2170713,21;58123,90;2112589,31;51980,67;2060608,64;51673,41;2008935,23;51673,41;1957261,82;51635,91;1905625,91;51634,06;1853991,85;51634,06;1802357,79;51634,06;1750723,73;51634,06;1699089,67;51634,06;1647455,61;51634,06;1595821,55;51634,06
Ядрихино - Усть-Жергей;1247101,00;52563,76;52563,76;5139,09;47424,67;5139,09;42285,58;5139,09;37146,49;5139,09;32007,40;2804,57;29202,83;2043,42;27159,41;1235,61;25923,80;261,70;25662,10;261,70;25400,40;261,70;25138,70;261,70;24877,00;261,70;24615,30;261,70
