naim;sum_bal;sum_ost;expr1;expr2;expr3;expr4;expr5;expr6;expr7;expr8;expr9;expr10;expr11;expr12;expr13;expr14;expr15;expr16;expr17;expr18;expr19;expr20;expr21;expr22;expr23;expr24;expr25;expr26
Краснокаменск - Досатуй;19539433,00;527893,81;527893,81;7103,24;520790,57;7103,24;513687,33;7103,24;506584,09;7103,24;499480,85;7103,24;492377,61;7103,24;485274,37;7103,24;478171,13;7103,24;471067,89;7103,24;463964,65;7103,24;456861,41;7103,24;449758,17;7103,24;442654,93;7103,24
Краснокаменск - Кайластуй;40848816,00;753274,97;753274,97;10425,35;742849,62;10425,35;732424,27;10425,35;721998,92;10425,35;711573,57;10425,35;701148,22;10425,35;690722,87;10425,35;680297,52;10425,35;669872,17;10425,35;659446,82;10425,35;649021,47;10425,35;638596,12;10425,35;628170,77;10425,35
Краснокаменск - Маргуцек - Ковыли;46594169,01;1284358,14;1284358,14;14871,24;1269486,90;14871,24;1254615,66;14871,24;1239744,42;14871,24;1224873,18;14871,24;1210001,94;14871,24;1195130,70;14871,24;1180259,46;14871,24;1165388,22;14871,24;1150516,98;14871,24;1135645,74;14871,24;1120774,50;14871,24;1105903,26;14871,24
Краснокаменск - Мациевская;2535451799,60;1849642321,62;1849642321,62;19386717,11;1830255604,51;19386715,95;1810868888,56;19386715,95;1791482172,61;19386715,95;1772095456,66;19386715,95;1752708740,71;19386715,95;1733322024,76;19386715,95;1713935308,81;19386715,95;1694548592,86;19386715,95;1675161876,91;19386715,95;1655775160,96;19386715,95;1636388445,01;19386696,41;1617001748,60;19386106,61
Красный Чикой - Архангельское;181768,00;3260,78;3260,78;69,04;3191,74;69,04;3122,70;69,04;3053,66;69,04;2984,62;69,04;2915,58;69,04;2846,54;69,04;2777,50;69,04;2708,46;69,04;2639,42;69,04;2570,38;69,04;2501,34;69,04;2432,30;69,04
Кудея - Большие Боты;43892809,41;406372,48;406372,48;18307,07;388065,41;18307,07;369758,34;18231,01;351527,33;18056,42;333470,91;18056,42;315414,49;18056,42;297358,07;16682,14;280675,93;12726,29;267949,64;12564,05;255385,59;12456,83;242928,76;12337,29;230591,47;12337,29;218254,18;12337,29
Кыра - Гавань;5783185,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
Кыра - Шумунда;48016158,12;14167499,70;14167499,70;122487,35;14045012,35;122487,35;13922525,00;122487,35;13800037,65;122487,35;13677550,30;122487,35;13555062,95;122487,35;13432575,60;122487,35;13310088,25;122487,35;13187600,90;121021,90;13066579,00;105798,12;12960780,88;105798,12;12854982,76;105798,12;12749184,64;105798,12
Малета - Пески;30201893,00;1116439,17;1116439,17;19818,32;1096620,85;19818,32;1076802,53;19818,32;1056984,21;19818,32;1037165,89;19818,32;1017347,57;19818,32;997529,25;19818,32;977710,93;19818,32;957892,61;19818,32;938074,29;19818,32;918255,97;19818,32;898437,65;19818,32;878619,33;19818,32
Малоархангельск - Урлук;50329038,71;2159146,85;2159146,85;44058,15;2115088,70;44058,15;2071030,55;44058,15;2026972,40;44058,15;1982914,25;44058,15;1938856,10;44058,15;1894797,95;44058,15;1850739,80;44058,15;1806681,65;44058,15;1762623,50;44058,15;1718565,35;44058,15;1674507,20;44058,15;1630449,05;44058,15
